SUB_ICB_LOCATION_CODE,ICB_ONS_CODE,REGION_CODE,Appointment_Month,Included Practices,Open Practices,Patients registered at included practices,Patients registered at open practices
00L,E54000050,E40000012,01AUG2020,40,40,329182,329182
00L,E54000050,E40000012,01SEP2020,40,40,329489,329489
00L,E54000050,E40000012,01OCT2020,40,40,329682,329682
00L,E54000050,E40000012,01NOV2020,39,40,319989,329887
00L,E54000050,E40000012,01DEC2020,39,40,320096,329990
00L,E54000050,E40000012,01JAN2021,39,40,320240,330135
00L,E54000050,E40000012,01FEB2021,37,38,320485,330379
00L,E54000050,E40000012,01MAR2021,37,38,320719,330624
00L,E54000050,E40000012,01APR2021,37,38,321205,331113
00L,E54000050,E40000012,01MAY2021,37,38,321549,331462
00L,E54000050,E40000012,01JUN2021,37,38,321698,331626
00L,E54000050,E40000012,01JUL2021,37,38,322111,332090
00L,E54000050,E40000012,01AUG2021,37,38,322399,332393
00L,E54000050,E40000012,01SEP2021,38,38,332718,332718
00L,E54000050,E40000012,01OCT2021,38,38,332816,332816
00L,E54000050,E40000012,01NOV2021,38,38,332846,332846
00L,E54000050,E40000012,01DEC2021,38,38,332994,332994
00L,E54000050,E40000012,01JAN2022,38,38,333050,333050
00L,E54000050,E40000012,01FEB2022,38,38,333163,333163
00L,E54000050,E40000012,01MAR2022,38,38,333252,333252
00L,E54000050,E40000012,01APR2022,37,38,331613,333346
00L,E54000050,E40000012,01MAY2022,37,38,331774,333508
00L,E54000050,E40000012,01JUN2022,37,38,331902,333640
00L,E54000050,E40000012,01JUL2022,37,37,333928,333928
00L,E54000050,E40000012,01AUG2022,36,36,334232,334232
00L,E54000050,E40000012,01SEP2022,36,36,334575,334575
00L,E54000050,E40000012,01OCT2022,36,36,334685,334685
00L,E54000050,E40000012,01NOV2022,36,36,334960,334960
00L,E54000050,E40000012,01DEC2022,36,36,335121,335121
00L,E54000050,E40000012,01JAN2023,36,36,335145,335145
00N,E54000050,E40000012,01AUG2020,21,21,158303,158303
00N,E54000050,E40000012,01SEP2020,21,21,158280,158280
00N,E54000050,E40000012,01OCT2020,21,21,158263,158263
00N,E54000050,E40000012,01NOV2020,21,21,158290,158290
00N,E54000050,E40000012,01DEC2020,21,21,158301,158301
00N,E54000050,E40000012,01JAN2021,21,21,158295,158295
00N,E54000050,E40000012,01FEB2021,21,21,158269,158269
00N,E54000050,E40000012,01MAR2021,21,21,158311,158311
00N,E54000050,E40000012,01APR2021,21,21,158453,158453
00N,E54000050,E40000012,01MAY2021,21,21,158543,158543
00N,E54000050,E40000012,01JUN2021,21,21,158615,158615
00N,E54000050,E40000012,01JUL2021,21,21,158731,158731
00N,E54000050,E40000012,01AUG2021,21,21,158714,158714
00N,E54000050,E40000012,01SEP2021,21,21,158766,158766
00N,E54000050,E40000012,01OCT2021,21,21,158755,158755
00N,E54000050,E40000012,01NOV2021,21,21,158679,158679
00N,E54000050,E40000012,01DEC2021,21,21,158713,158713
00N,E54000050,E40000012,01JAN2022,21,21,158713,158713
00N,E54000050,E40000012,01FEB2022,21,21,158757,158757
00N,E54000050,E40000012,01MAR2022,21,21,158819,158819
00N,E54000050,E40000012,01APR2022,21,21,158827,158827
00N,E54000050,E40000012,01MAY2022,21,21,158795,158795
00N,E54000050,E40000012,01JUN2022,21,21,158892,158892
00N,E54000050,E40000012,01JUL2022,21,21,158918,158918
00N,E54000050,E40000012,01AUG2022,21,21,158963,158963
00N,E54000050,E40000012,01SEP2022,21,21,159031,159031
00N,E54000050,E40000012,01OCT2022,21,21,159121,159121
00N,E54000050,E40000012,01NOV2022,21,21,159176,159176
00N,E54000050,E40000012,01DEC2022,21,21,159177,159177
00N,E54000050,E40000012,01JAN2023,21,21,159122,159122
00P,E54000050,E40000012,01AUG2020,38,39,284054,284089
00P,E54000050,E40000012,01SEP2020,38,39,284078,284112
00P,E54000050,E40000012,01OCT2020,38,39,284074,284106
00P,E54000050,E40000012,01NOV2020,38,39,284040,284075
00P,E54000050,E40000012,01DEC2020,38,39,284063,284094
00P,E54000050,E40000012,01JAN2021,38,39,284072,284097
00P,E54000050,E40000012,01FEB2021,38,39,284109,284133
00P,E54000050,E40000012,01MAR2021,38,39,284210,284234
00P,E54000050,E40000012,01APR2021,38,39,284323,284346
00P,E54000050,E40000012,01MAY2021,38,39,284373,284397
00P,E54000050,E40000012,01JUN2021,38,39,284425,284451
00P,E54000050,E40000012,01JUL2021,38,39,284664,284690
00P,E54000050,E40000012,01AUG2021,38,39,284654,284680
00P,E54000050,E40000012,01SEP2021,38,39,284661,284687
00P,E54000050,E40000012,01OCT2021,38,39,284804,284829
00P,E54000050,E40000012,01NOV2021,38,39,285225,285248
00P,E54000050,E40000012,01DEC2021,38,39,285684,285707
00P,E54000050,E40000012,01JAN2022,38,39,285802,285825
00P,E54000050,E40000012,01FEB2022,38,39,285984,286005
00P,E54000050,E40000012,01MAR2022,38,39,286140,286160
00P,E54000050,E40000012,01APR2022,38,39,286617,286638
00P,E54000050,E40000012,01MAY2022,38,39,286832,286855
00P,E54000050,E40000012,01JUN2022,38,39,286829,286853
00P,E54000050,E40000012,01JUL2022,38,39,286845,286869
00P,E54000050,E40000012,01AUG2022,38,39,286957,286982
00P,E54000050,E40000012,01SEP2022,38,39,287139,287164
00P,E54000050,E40000012,01OCT2022,38,39,287487,287515
00P,E54000050,E40000012,01NOV2022,38,39,288072,288097
00P,E54000050,E40000012,01DEC2022,38,39,288839,288864
00P,E54000050,E40000012,01JAN2023,38,39,289336,289361
00Q,E54000048,E40000010,01AUG2020,23,23,178830,178830
00Q,E54000048,E40000010,01SEP2020,23,23,178871,178871
00Q,E54000048,E40000010,01OCT2020,23,23,178880,178880
00Q,E54000048,E40000010,01NOV2020,23,23,179053,179053
00Q,E54000048,E40000010,01DEC2020,23,23,179050,179050
00Q,E54000048,E40000010,01JAN2021,23,23,179302,179302
00Q,E54000048,E40000010,01FEB2021,23,23,179397,179397
00Q,E54000048,E40000010,01MAR2021,23,23,179447,179447
00Q,E54000048,E40000010,01APR2021,23,23,179552,179552
00Q,E54000048,E40000010,01MAY2021,22,22,179667,179667
00Q,E54000048,E40000010,01JUN2021,22,22,179871,179871
