SUB_ICB_LOCATION_CODE,ICB_ONS_CODE,REGION_CODE,Appointment_Month,Included Practices,Open Practices,Patients registered at included practices,Patients registered at open practices
00L,E54000050,E40000012,01FEB2023,36,36,335363,335363
00L,E54000050,E40000012,01MAR2023,36,36,335546,335546
00L,E54000050,E40000012,01APR2023,36,36,335876,335876
00L,E54000050,E40000012,01MAY2023,36,36,336003,336003
00L,E54000050,E40000012,01JUN2023,36,36,336178,336178
00L,E54000050,E40000012,01JUL2023,36,36,336464,336464
00L,E54000050,E40000012,01AUG2023,36,36,336762,336762
00L,E54000050,E40000012,01SEP2023,36,36,337174,337174
00L,E54000050,E40000012,01OCT2023,36,36,337246,337246
00L,E54000050,E40000012,01NOV2023,36,36,337598,337598
00L,E54000050,E40000012,01DEC2023,36,36,337824,337824
00L,E54000050,E40000012,01JAN2024,36,36,338041,338041
00L,E54000050,E40000012,01FEB2024,36,36,338333,338333
00L,E54000050,E40000012,01MAR2024,36,36,338532,338532
00L,E54000050,E40000012,01APR2024,36,36,338729,338729
00L,E54000050,E40000012,01MAY2024,36,36,339433,339433
00L,E54000050,E40000012,01JUN2024,36,36,339634,339634
00L,E54000050,E40000012,01JUL2024,36,36,339937,339937
00L,E54000050,E40000012,01AUG2024,36,36,340364,340364
00L,E54000050,E40000012,01SEP2024,36,36,340840,340840
00L,E54000050,E40000012,01OCT2024,36,36,341046,341046
00L,E54000050,E40000012,01NOV2024,36,36,341331,341331
00L,E54000050,E40000012,01DEC2024,36,36,341425,341425
00L,E54000050,E40000012,01JAN2025,36,36,341539,341539
00L,E54000050,E40000012,01FEB2025,36,36,341749,341749
00L,E54000050,E40000012,01MAR2025,36,36,341839,341839
00L,E54000050,E40000012,01APR2025,36,36,341903,341903
00L,E54000050,E40000012,01MAY2025,36,36,342143,342143
00L,E54000050,E40000012,01JUN2025,36,36,342468,342468
00L,E54000050,E40000012,01JUL2025,36,36,342710,342710
00N,E54000050,E40000012,01FEB2023,21,21,159109,159109
00N,E54000050,E40000012,01MAR2023,21,21,159130,159130
00N,E54000050,E40000012,01APR2023,21,21,159173,159173
00N,E54000050,E40000012,01MAY2023,21,21,159168,159168
00N,E54000050,E40000012,01JUN2023,21,21,159281,159281
00N,E54000050,E40000012,01JUL2023,21,21,159412,159412
00N,E54000050,E40000012,01AUG2023,21,21,159495,159495
00N,E54000050,E40000012,01SEP2023,21,21,159605,159605
00N,E54000050,E40000012,01OCT2023,21,21,159658,159658
00N,E54000050,E40000012,01NOV2023,21,21,159752,159752
00N,E54000050,E40000012,01DEC2023,21,21,159793,159793
00N,E54000050,E40000012,01JAN2024,21,21,159854,159854
00N,E54000050,E40000012,01FEB2024,21,21,159929,159929
00N,E54000050,E40000012,01MAR2024,21,21,159841,159841
00N,E54000050,E40000012,01APR2024,21,21,159837,159837
00N,E54000050,E40000012,01MAY2024,20,20,159954,159954
00N,E54000050,E40000012,01JUN2024,20,20,160035,160035
00N,E54000050,E40000012,01JUL2024,20,20,160023,160023
00N,E54000050,E40000012,01AUG2024,20,20,159982,159982
00N,E54000050,E40000012,01SEP2024,20,20,160000,160000
00N,E54000050,E40000012,01OCT2024,20,20,159952,159952
00N,E54000050,E40000012,01NOV2024,20,20,159904,159904
00N,E54000050,E40000012,01DEC2024,20,20,159945,159945
00N,E54000050,E40000012,01JAN2025,20,20,159967,159967
00N,E54000050,E40000012,01FEB2025,20,20,159980,159980
00N,E54000050,E40000012,01MAR2025,20,20,159924,159924
00N,E54000050,E40000012,01APR2025,20,20,159833,159833
00N,E54000050,E40000012,01MAY2025,20,20,159787,159787
00N,E54000050,E40000012,01JUN2025,20,20,159695,159695
00N,E54000050,E40000012,01JUL2025,20,20,159678,159678
00P,E54000050,E40000012,01FEB2023,38,39,289364,289389
00P,E54000050,E40000012,01MAR2023,38,39,289736,289761
00P,E54000050,E40000012,01APR2023,38,39,290120,290140
00P,E54000050,E40000012,01MAY2023,38,39,290203,290224
00P,E54000050,E40000012,01JUN2023,38,39,290358,290381
00P,E54000050,E40000012,01JUL2023,38,39,290549,290573
00P,E54000050,E40000012,01AUG2023,38,39,290894,290918
00P,E54000050,E40000012,01SEP2023,38,39,291130,291154
00P,E54000050,E40000012,01OCT2023,38,39,291563,291585
00P,E54000050,E40000012,01NOV2023,38,39,292423,292445
00P,E54000050,E40000012,01DEC2023,38,39,293107,293129
00P,E54000050,E40000012,01JAN2024,38,39,293502,293522
00P,E54000050,E40000012,01FEB2024,38,39,293911,293932
00P,E54000050,E40000012,01MAR2024,38,39,294137,294159
00P,E54000050,E40000012,01APR2024,38,39,294330,294354
00P,E54000050,E40000012,01MAY2024,38,39,294772,294800
